Player Ali:
(coordinates recorded in cm precision)
  00:00:333: (x: 423, y: -1017)
  00:00:466: (x: 423, y: -1017)
  00:00:650: (x: 359, y: -997)
  00:00:779: (x: 388, y: -1126)
  00:00:965: (x: 415, y: -1000)
  00:01:084: (x: 504, y: -1050)
  00:01:280: (x: 517, y: -999)
  00:01:393: (x: 517, y: -999)
  00:01:587: (x: 401, y: -980)
  00:01:705: (x: 492, y: -1060)
  00:01:901: (x: 305, y: -943)
  00:02:014: (x: 423, y: -1041)
  00:02:220: (x: 516, y: -1028)
  00:02:491: (x: 451, y: -956)
  00:00:473: (x: 353, y: -1053)
  00:00:734: (x: 387, y: -944)
  00:00:784: (x: 387, y: -944)
  00:01:043: (x: 376, y: -864)
  00:01:097: (x: 376, y: -864)
  00:01:355: (x: 356, y: -1011)
  00:01:416: (x: 356, y: -1011)
  00:01:665: (x: 512, y: -1033)
  00:01:816: (x: 473, y: -998)
  00:00:488: (x: 423, y: -1042)
  00:00:743: (x: 547, y: -1003)
  00:00:796: (x: 547, y: -1003)
  00:01:050: (x: 453, y: -1031)
  00:01:105: (x: 453, y: -1031)
  00:01:365: (x: 387, y: -1004)
  00:01:413: (x: 387, y: -1004)
  00:01:680: (x: 532, y: -1007)
  00:01:722: (x: 532, y: -1007)
  00:01:997: (x: 453, y: -1046)
  00:02:042: (x: 453, y: -1046)
  00:02:312: (x: 417, y: -901)
  00:02:355: (x: 417, y: -901)
  00:02:627: (x: 428, y: -1052)
  00:02:669: (x: 419, y: -885)
  00:02:935: (x: 373, y: -870)
  00:02:976: (x: 373, y: -870)
  00:03:245: (x: 457, y: -938)
  00:03:292: (x: 457, y: -938)
  00:03:555: (x: 443, y: -820)
  00:03:606: (x: 443, y: -820)
  00:03:867: (x: 493, y: -887)
  00:03:925: (x: 416, y: -779)
  00:04:181: (x: 446, y: -813)
  00:04:236: (x: 446, y: -813)
  00:04:490: (x: 341, y: -899)
  00:04:547: (x: 341, y: -899)
  00:04:799: (x: 380, y: -929)
  00:04:856: (x: 527, y: -973)
  00:05:109: (x: 408, y: -1009)
  00:05:163: (x: 408, y: -1009)
  00:05:428: (x: 433, y: -931)
  00:05:471: (x: 433, y: -931)
  00:05:736: (x: 537, y: -1123)
  00:05:791: (x: 450, y: -1000)
  00:06:050: (x: 359, y: -1044)
  00:06:105: (x: 474, y: -978)
  00:06:366: (x: 408, y: -901)
  00:06:419: (x: 408, y: -901)
  00:06:680: (x: 484, y: -979)
  00:06:726: (x: 484, y: -979)
  00:06:999: (x: 484, y: -979)
  00:07:036: (x: 415, y: -1000)
  00:07:314: (x: 346, y: -998)
  00:07:356: (x: 346, y: -998)
  00:07:626: (x: 410, y: -972)
  00:07:666: (x: 410, y: -972)
  00:07:935: (x: 465, y: -1042)
  00:07:978: (x: 465, y: -1042)
  00:08:274: (x: 481, y: -994)
  00:08:295: (x: 481, y: -994)
  00:08:587: (x: 467, y: -1019)
  00:08:604: (x: 467, y: -1019)
